ShortName,LongName
COSMIC/FORMOSAT-3,"Constellation Observing System for Meteorology, Ionosphere and Climate"
NCEP-GFS,NCEP Global Forecast System
DMSP 5D-2/F15,Defense Meteorological Satellite Program-F15
Nimbus-6,
TMPA,TRMM Multi-Satellite Precipitation Analysis
Nimbus-1,
Nimbus-2,
Nimbus-3,
LANDMET,CCNY NOAA-CREST Land Surface Atmospheric Boundary Processing Method
Nimbus-7,
CORIOLIS,Coriolis
MERRA-2,The second Modern-Era Retrospective analysis for Research and Applications
NPOESS (National Polar-orbiting Operational Environmental Satellite System ),
Terra,"Earth Observing System, Terra (AM-1)"
EP-TOMS,Earth Probe-TOMS
NOAA-9,National Oceanic & Atmospheric Administration-9
NOAA-11,National Oceanic & Atmospheric Administration-11
NOAA-14,National Oceanic & Atmospheric Administration-14
OrbView-2,Orbital Sciences Corporation OrbView-2 Satellite
TIROS-N,Television Infrared Observation Satellite-N
NOAA-12,National Oceanic & Atmospheric Administration-12
NOAA-10,National Oceanic & Atmospheric Administration-10
NOAA-7,National Oceanic & Atmospheric Administration-7
NOAA-6,National Oceanic & Atmospheric Administration-6
OCO-2,Orbiting Carbon Observatory-2
OBSERVATION BASED,OBSERVATION BASED ANALYSES
Forcing-LSM,Forcing data for Land Surface Model
NOBM,NASA Ocean Biogeochemical Model
ISS,International Space Station
GEOS-5,Goddard EOS Data Assimilation System-5
PARASOL,
RM-OBS/PU,Hybrid of NCEP/NCAR Reanalysis Model and Observations by Princeton University
SHIPS,
METEOROLOGICAL STATIONS,
Sentinel-5P,Sentinel-5 Precursor
SORCE,Solar Radiation and Climate Experiment
STS-34,Space Transport System STS-34
STS-41,Space Transport System STS-41
STS-43,Space Transport System STS-43
STS-45,Space Transport System STS-45
STS-56,Space Transport System STS-56
STS-62,Space Transport System STS-62
STS-66,Space Transport System STS-66
STS-72,Space Transport System STS-72
STPSat-3,U.S. Air Force Space Test Program Satellite 3
Meteor-3,
NOAA-8,National Oceanic & Atmospheric Administration-8
TSIS-1,Total and Spectral Solar Irradiance Sensor-1
GDAS,Global Data Assimilation System
Unified Model UM,United Kingdom Met Office (UKMO) Unified Model
SMS-1,Synchronous Meteorological Satellite 1
SMS-2,Synchronous Meteorological Satellite 2
MTSAT-1R,Multi-functional Transport Satellite 1 Replacement
MTSAT-2,The Multi-functional Transport Satellite 2
Penman-Monteith,Penman-Monteith Model with Enhanced Surface Resistance Parameterization
